"","TIME_PERIOD","OBS_VALUE","TITLE_FR"
"94",2020-07-01,103.866718622637,"Tertiaire marchand"
"95",2020-04-01,100.784306275336,"Tertiaire marchand"
"96",2020-01-01,101.224069154374,"Tertiaire marchand"
"97",2019-10-01,104.985455963055,"Tertiaire marchand"
"98",2019-07-01,104.290482379497,"Tertiaire marchand"
"99",2019-04-01,104.103945223368,"Tertiaire marchand"
"100",2019-01-01,104.005897354812,"Tertiaire marchand"
"101",2018-10-01,103.008269450434,"Tertiaire marchand"
"102",2018-07-01,102.783165720237,"Tertiaire marchand"
"103",2018-04-01,102.610029319797,"Tertiaire marchand"
"104",2018-01-01,102.407799733927,"Tertiaire marchand"
"105",2017-10-01,101.943697402247,"Tertiaire marchand"
"106",2017-07-01,101.137454098365,"Tertiaire marchand"
"107",2017-04-01,100.770062115442,"Tertiaire marchand"
"108",2017-01-01,100,"Tertiaire marchand"
"109",2025-10-01,107.875442543384,"Ensemble des salariés"
"110",2025-07-01,108.041750981528,"Ensemble des salariés"
"111",2025-04-01,108.06515965096,"Ensemble des salariés"
"112",2025-01-01,108.066954669181,"Ensemble des salariés"
"113",2024-10-01,108.063148414636,"Ensemble des salariés"
"114",2024-07-01,108.244212718471,"Ensemble des salariés"
"115",2024-04-01,108.082836500847,"Ensemble des salariés"
"116",2024-01-01,108.178135650016,"Ensemble des salariés"
"117",2023-10-01,107.892021984404,"Ensemble des salariés"
"118",2023-07-01,107.6862557821,"Ensemble des salariés"
"119",2023-04-01,107.573720378426,"Ensemble des salariés"
"120",2023-01-01,107.439142966919,"Ensemble des salariés"
"121",2022-10-01,107.200022062406,"Ensemble des salariés"
"122",2022-07-01,106.77434165055,"Ensemble des salariés"
"123",2022-04-01,106.505839561435,"Ensemble des salariés"
"124",2022-01-01,106.269664118638,"Ensemble des salariés"
"125",2021-10-01,105.867408694562,"Ensemble des salariés"
"126",2021-07-01,105.239262466177,"Ensemble des salariés"
"127",2021-04-01,104.362885615809,"Ensemble des salariés"
"128",2021-01-01,103.298627471954,"Ensemble des salariés"
"129",2020-10-01,102.63061960031,"Ensemble des salariés"
"130",2020-07-01,102.593438245621,"Ensemble des salariés"
"131",2020-04-01,100.517948427984,"Ensemble des salariés"
"132",2020-01-01,101.019974228434,"Ensemble des salariés"
"133",2019-10-01,102.943944110313,"Ensemble des salariés"
"134",2019-07-01,102.56162154766,"Ensemble des salariés"
"135",2019-04-01,102.311840682668,"Ensemble des salariés"
"136",2019-01-01,102.143353745138,"Ensemble des salariés"
"137",2018-10-01,101.4861526991,"Ensemble des salariés"
"138",2018-07-01,101.305202623697,"Ensemble des salariés"
"139",2018-04-01,101.154808653913,"Ensemble des salariés"
"140",2018-01-01,101.098367569634,"Ensemble des salariés"
"141",2017-10-01,100.869694487083,"Ensemble des salariés"
"142",2017-07-01,100.463681763504,"Ensemble des salariés"
"143",2017-04-01,100.441643835259,"Ensemble des salariés"
"144",2017-01-01,100,"Ensemble des salariés"
