"","date","OBS_VALUE","Coicop2016"
"73",2023-07-01,112.19806763285,"Nomenclature Coicop : Ensemble harmonisé"
"74",2023-07-01,121.370893741971,"Produits alimentaires et boissons non alcoolisées"
"75",2023-07-01,129.233092800806,"Électricité, gaz et autres combustibles"
"76",2023-08-01,113.433667781494,"Nomenclature Coicop : Ensemble harmonisé"
"77",2023-08-01,121.802165534961,"Produits alimentaires et boissons non alcoolisées"
"78",2023-08-01,137.682497063266,"Électricité, gaz et autres combustibles"
"79",2023-09-01,112.783351913787,"Nomenclature Coicop : Ensemble harmonisé"
"80",2023-09-01,121.471829693522,"Produits alimentaires et boissons non alcoolisées"
"81",2023-09-01,139.41936566538,"Électricité, gaz et autres combustibles"
"82",2023-10-01,112.978446674099,"Nomenclature Coicop : Ensemble harmonisé"
"83",2023-10-01,121.508533675904,"Produits alimentaires et boissons non alcoolisées"
"84",2023-10-01,140.401074005706,"Électricité, gaz et autres combustibles"
"85",2023-11-01,112.709030100334,"Nomenclature Coicop : Ensemble harmonisé"
"86",2023-11-01,122.013213433658,"Produits alimentaires et boissons non alcoolisées"
"87",2023-11-01,140.711528779997,"Électricité, gaz et autres combustibles"
"88",2023-12-01,112.86696395392,"Nomenclature Coicop : Ensemble harmonisé"
"89",2023-12-01,122.077445402826,"Produits alimentaires et boissons non alcoolisées"
"90",2023-12-01,140.820607484477,"Électricité, gaz et autres combustibles"
"91",2024-01-01,112.597547380156,"Nomenclature Coicop : Ensemble harmonisé"
"92",2024-01-01,122.352725270692,"Produits alimentaires et boissons non alcoolisées"
"93",2024-01-01,142.32253733848,"Électricité, gaz et autres combustibles"
"94",2024-02-01,113.665923448532,"Nomenclature Coicop : Ensemble harmonisé"
"95",2024-02-01,121.903101486511,"Produits alimentaires et boissons non alcoolisées"
"96",2024-02-01,148.54841416345,"Électricité, gaz et autres combustibles"
"97",2024-03-01,113.944630248978,"Nomenclature Coicop : Ensemble harmonisé"
"98",2024-03-01,121.921453477702,"Produits alimentaires et boissons non alcoolisées"
"99",2024-03-01,146.635341500252,"Électricité, gaz et autres combustibles"
"100",2024-04-01,114.650687476774,"Nomenclature Coicop : Ensemble harmonisé"
"101",2024-04-01,122.031565424849,"Produits alimentaires et boissons non alcoolisées"
"102",2024-04-01,144.906863567713,"Électricité, gaz et autres combustibles"
"103",2024-05-01,114.817911557042,"Nomenclature Coicop : Ensemble harmonisé"
"104",2024-05-01,122.554597173793,"Produits alimentaires et boissons non alcoolisées"
"105",2024-05-01,144.697096828327,"Électricité, gaz et autres combustibles"
"106",2024-06-01,114.994425863991,"Nomenclature Coicop : Ensemble harmonisé"
"107",2024-06-01,122.325197283905,"Produits alimentaires et boissons non alcoolisées"
"108",2024-06-01,144.923644906864,"Électricité, gaz et autres combustibles"
"109",2024-07-01,115.226681531029,"Nomenclature Coicop : Ensemble harmonisé"
"110",2024-07-01,122.031565424849,"Produits alimentaires et boissons non alcoolisées"
"111",2024-07-01,147.843597919114,"Électricité, gaz et autres combustibles"
"112",2024-08-01,115.914158305463,"Nomenclature Coicop : Ensemble harmonisé"
"113",2024-08-01,122.426133235456,"Produits alimentaires et boissons non alcoolisées"
"114",2024-08-01,148.019801980198,"Électricité, gaz et autres combustibles"
"115",2024-09-01,114.409141583055,"Nomenclature Coicop : Ensemble harmonisé"
