"","date","OBS_VALUE","Naf2"
"73",2019-11-01,99.7264150943396,"Industrie manufacturière, industries extractives et autres"
"74",2019-10-01,100.471698113208,"Industrie manufacturière, industries extractives et autres"
"75",2019-09-01,100.490566037736,"Industrie manufacturière, industries extractives et autres"
"76",2019-08-01,99.2452830188679,"Industrie manufacturière, industries extractives et autres"
"77",2019-07-01,100.688679245283,"Industrie manufacturière, industries extractives et autres"
"78",2019-06-01,99.7358490566038,"Industrie manufacturière, industries extractives et autres"
"79",2019-05-01,102.952830188679,"Industrie manufacturière, industries extractives et autres"
"80",2019-04-01,101.11320754717,"Industrie manufacturière, industries extractives et autres"
"81",2019-03-01,100.943396226415,"Industrie manufacturière, industries extractives et autres"
"82",2019-02-01,101.179245283019,"Industrie manufacturière, industries extractives et autres"
"83",2019-01-01,101.160377358491,"Industrie manufacturière, industries extractives et autres"
"84",2018-12-01,100.575471698113,"Industrie manufacturière, industries extractives et autres"
"85",2018-11-01,99.5566037735849,"Industrie manufacturière, industries extractives et autres"
"86",2018-10-01,100.698113207547,"Industrie manufacturière, industries extractives et autres"
"87",2018-09-01,99.2547169811321,"Industrie manufacturière, industries extractives et autres"
"88",2018-08-01,100.330188679245,"Industrie manufacturière, industries extractives et autres"
"89",2018-07-01,100.037735849057,"Industrie manufacturière, industries extractives et autres"
"90",2018-06-01,100.528301886792,"Industrie manufacturière, industries extractives et autres"
"91",2018-05-01,98.688679245283,"Industrie manufacturière, industries extractives et autres"
"92",2018-04-01,99.7358490566038,"Industrie manufacturière, industries extractives et autres"
"93",2018-03-01,100.839622641509,"Industrie manufacturière, industries extractives et autres"
"94",2018-02-01,100,"Industrie manufacturière, industries extractives et autres"
"95",2018-01-01,98.6132075471698,"Industrie manufacturière, industries extractives et autres"
"96",2017-12-01,102.330188679245,"Industrie manufacturière, industries extractives et autres"
"97",2017-11-01,101.150943396226,"Industrie manufacturière, industries extractives et autres"
"98",2017-10-01,100.839622641509,"Industrie manufacturière, industries extractives et autres"
"99",2017-09-01,100.367924528302,"Industrie manufacturière, industries extractives et autres"
"100",2017-08-01,99.1981132075472,"Industrie manufacturière, industries extractives et autres"
"101",2017-07-01,98.8207547169811,"Industrie manufacturière, industries extractives et autres"
"102",2017-06-01,98.9245283018868,"Industrie manufacturière, industries extractives et autres"
"103",2017-05-01,100,"Industrie manufacturière, industries extractives et autres"
"104",2025-11-01,97.5367612625269,"Industrie manufacturière"
"105",2025-10-01,97.2932471668072,"Industrie manufacturière"
"106",2025-09-01,97.4337360681839,"Industrie manufacturière"
"107",2025-08-01,96.3753863444788,"Industrie manufacturière"
"108",2025-07-01,97.5929568230776,"Industrie manufacturière"
"109",2025-06-01,97.6959820174206,"Industrie manufacturière"
"110",2025-05-01,94.7831787955418,"Industrie manufacturière"
"111",2025-04-01,95.8134307389716,"Industrie manufacturière"
"112",2025-03-01,96.4034841247541,"Industrie manufacturière"
"113",2025-02-01,95.7197714713871,"Industrie manufacturière"
"114",2025-01-01,94.4647372857544,"Industrie manufacturière"
"115",2024-12-01,94.8955699166433,"Industrie manufacturière"
"116",2024-11-01,95.4387936686335,"Industrie manufacturière"
"117",2024-10-01,95.738503324904,"Industrie manufacturière"
"118",2024-09-01,95.9351877868315,"Industrie manufacturière"
"119",2024-08-01,96.1693359557928,"Industrie manufacturière"
"120",2024-07-01,95.4762573756673,"Industrie manufacturière"
"121",2024-06-01,95.7759670319378,"Industrie manufacturière"
"122",2024-05-01,95.1578158658799,"Industrie manufacturière"
"123",2024-04-01,97.3869064343917,"Industrie manufacturière"
"124",2024-03-01,96.4503137585464,"Industrie manufacturière"
"125",2024-02-01,97.1527582654304,"Industrie manufacturière"
"126",2024-01-01,96.2255315163436,"Industrie manufacturière"
"127",2023-12-01,97.2370516062564,"Industrie manufacturière"
"128",2023-11-01,96.6469982204739,"Industrie manufacturière"
"129",2023-10-01,96.8624145359183,"Industrie manufacturière"
"130",2023-09-01,96.3753863444788,"Industrie manufacturière"
"131",2023-08-01,96.5065093190971,"Industrie manufacturière"
"132",2023-07-01,96.4690456120633,"Industrie manufacturière"
"133",2023-06-01,96.5346070993725,"Industrie manufacturière"
"134",2023-05-01,98.0237894539665,"Industrie manufacturière"
"135",2023-04-01,95.3076706940152,"Industrie manufacturière"
"136",2023-03-01,95.0547906715369,"Industrie manufacturière"
"137",2023-02-01,96.5814367331648,"Industrie manufacturière"
"138",2023-01-01,95.7291373981456,"Industrie manufacturière"
"139",2022-12-01,96.7500234148169,"Industrie manufacturière"
"140",2022-11-01,97.021635290812,"Industrie manufacturière"
"141",2022-10-01,95.5230870094596,"Industrie manufacturière"
"142",2022-09-01,97.1527582654304,"Industrie manufacturière"
"143",2022-08-01,97.0778308513627,"Industrie manufacturière"
"144",2022-07-01,94.352346164653,"Industrie manufacturière"
"145",2022-06-01,95.8227966657301,"Industrie manufacturière"
"146",2022-05-01,95.139084012363,"Industrie manufacturière"
"147",2022-04-01,93.3408260747401,"Industrie manufacturière"
"148",2022-03-01,94.24932097031,"Industrie manufacturière"
"149",2022-02-01,94.7925447223003,"Industrie manufacturière"
"150",2022-01-01,95.9632855671069,"Industrie manufacturière"
"151",2021-12-01,93.5094127563923,"Industrie manufacturière"
"152",2021-11-01,92.6290156410977,"Industrie manufacturière"
"153",2021-10-01,94.9704973307109,"Industrie manufacturière"
"154",2021-09-01,92.3761356186195,"Industrie manufacturière"
"155",2021-08-01,93.958977240798,"Industrie manufacturière"
"156",2021-07-01,94.2586868970685,"Industrie manufacturière"
"157",2021-06-01,93.1722393930879,"Industrie manufacturière"
"158",2021-05-01,93.0130186381943,"Industrie manufacturière"
"159",2021-04-01,93.5468764634261,"Industrie manufacturière"
"160",2021-03-01,93.5468764634261,"Industrie manufacturière"
"161",2021-02-01,92.366769691861,"Industrie manufacturière"
"162",2021-01-01,96.5533389528894,"Industrie manufacturière"
"163",2020-12-01,93.4906809028753,"Industrie manufacturière"
"164",2020-11-01,94.7363491617496,"Industrie manufacturière"
"165",2020-10-01,95.0266928912616,"Industrie manufacturière"
"166",2020-09-01,94.0526365083825,"Industrie manufacturière"
"167",2020-08-01,91.8422777933877,"Industrie manufacturière"
"168",2020-07-01,91.3833473822235,"Industrie manufacturière"
"169",2020-06-01,NA,"Industrie manufacturière"
"170",2020-05-01,NA,"Industrie manufacturière"
"171",2020-04-01,NA,"Industrie manufacturière"
"172",2020-03-01,NA,"Industrie manufacturière"
"173",2020-02-01,101.507914208111,"Industrie manufacturière"
"174",2020-01-01,100.074927414068,"Industrie manufacturière"
"175",2019-12-01,97.8926664793481,"Industrie manufacturière"
"176",2019-11-01,99.793949611314,"Industrie manufacturière"
"177",2019-10-01,101.03025194343,"Industrie manufacturière"
"178",2019-09-01,101.095813430739,"Industrie manufacturière"
"179",2019-08-01,99.4193125409759,"Industrie manufacturière"
"180",2019-07-01,100.608785239299,"Industrie manufacturière"
"181",2019-06-01,99.7283881240049,"Industrie manufacturière"
"182",2019-05-01,102.669289126159,"Industrie manufacturière"
"183",2019-04-01,101.386157160251,"Industrie manufacturière"
"184",2019-03-01,101.45171864756,"Industrie manufacturière"
"185",2019-02-01,101.676500889763,"Industrie manufacturière"
"186",2019-01-01,101.245668258874,"Industrie manufacturière"
"187",2018-12-01,101.03025194343,"Industrie manufacturière"
"188",2018-11-01,99.6815584902126,"Industrie manufacturière"
"189",2018-10-01,100.889763042053,"Industrie manufacturière"
"190",2018-09-01,99.4567762480097,"Industrie manufacturière"
"191",2018-08-01,100.468296337923,"Industrie manufacturière"
"192",2018-07-01,99.9719022197246,"Industrie manufacturière"
"193",2018-06-01,100.852299335019,"Industrie manufacturière"
"194",2018-05-01,98.8760887889857,"Industrie manufacturière"
"195",2018-04-01,100.36527114358,"Industrie manufacturière"
"196",2018-03-01,99.9625362929662,"Industrie manufacturière"
"197",2018-02-01,98.5482813524398,"Industrie manufacturière"
"198",2018-01-01,99.1757984452562,"Industrie manufacturière"
"199",2017-12-01,102.332115762855,"Industrie manufacturière"
"200",2017-11-01,101.27376603915,"Industrie manufacturière"
"201",2017-10-01,101.461084574319,"Industrie manufacturière"
"202",2017-09-01,100.327807436546,"Industrie manufacturière"
"203",2017-08-01,99.2507258593238,"Industrie manufacturière"
"204",2017-07-01,99.0634073241547,"Industrie manufacturière"
"205",2017-06-01,99.1008710311885,"Industrie manufacturière"
"206",2017-05-01,100,"Industrie manufacturière"
