"","date","OBS_VALUE","TITLE_FR","DEMOGRAPHIE2"
"61",2023-07-01,657662,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"62",2023-06-01,644544,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"63",2023-06-01,663003,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"64",2023-05-01,644866,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"65",2023-05-01,667349,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"66",2023-04-01,644958,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"67",2023-04-01,672124,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"68",2023-03-01,649584,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"69",2023-03-01,675858,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"70",2023-02-01,651427,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"71",2023-02-01,679710,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"72",2023-01-01,656055,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"73",2023-01-01,683021,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"74",2022-12-01,658434,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"75",2022-12-01,686564,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"76",2022-11-01,652107,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"77",2022-11-01,691817,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"78",2022-10-01,651256,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"79",2022-10-01,695545,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"80",2022-09-01,649301,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"81",2022-09-01,701782,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"82",2022-08-01,649334,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"83",2022-08-01,706615,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"84",2022-07-01,646978,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"85",2022-07-01,708178,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"86",2022-06-01,641023,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"87",2022-06-01,709453,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"88",2022-05-01,638933,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"89",2022-05-01,708604,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"90",2022-04-01,640394,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"91",2022-04-01,707752,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"92",2022-03-01,641659,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"93",2022-03-01,710405,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"94",2022-02-01,643103,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"95",2022-02-01,711544,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"96",2022-01-01,643635,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"97",2022-01-01,707797,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"98",2021-12-01,644201,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
