"","date","OBS_VALUE","TITLE_FR","DEMOGRAPHIE2"
"49",2024-02-01,642746,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"50",2024-02-01,677326,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"51",2024-01-01,639873,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"52",2024-01-01,677189,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"53",2023-12-01,639269,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"54",2023-12-01,677803,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"55",2023-11-01,647615,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"56",2023-11-01,681392,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"57",2023-10-01,647824,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"58",2023-10-01,684297,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"59",2023-09-01,649813,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"60",2023-09-01,686610,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"61",2023-08-01,650247,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"62",2023-08-01,691253,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"63",2023-07-01,653239,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"64",2023-07-01,696460,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"65",2023-06-01,660013,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"66",2023-06-01,701938,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"67",2023-05-01,660409,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"68",2023-05-01,706292,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"69",2023-04-01,660621,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"70",2023-04-01,711089,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"71",2023-03-01,665317,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"72",2023-03-01,714912,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"73",2023-02-01,667347,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"74",2023-02-01,718976,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"75",2023-01-01,672325,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"76",2023-01-01,722381,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"77",2022-12-01,675122,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"78",2022-12-01,725997,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"79",2022-11-01,668787,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"80",2022-11-01,731565,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"81",2022-10-01,667958,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"82",2022-10-01,735501,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"83",2022-09-01,666147,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"84",2022-09-01,742301,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"85",2022-08-01,666615,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"86",2022-08-01,747300,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"87",2022-07-01,665426,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"88",2022-07-01,748986,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"89",2022-06-01,659456,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"90",2022-06-01,750285,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"91",2022-05-01,657298,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"92",2022-05-01,749546,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"93",2022-04-01,658676,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"94",2022-04-01,748701,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"95",2022-03-01,659922,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"96",2022-03-01,751400,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"97",2022-02-01,661290,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"98",2022-02-01,752351,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"99",2022-01-01,661529,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"100",2022-01-01,748504,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"101",2021-12-01,661585,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"102",2021-12-01,742052,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"103",2021-11-01,661649,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"104",2021-11-01,735836,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"105",2021-10-01,673972,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"106",2021-10-01,731790,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"107",2021-09-01,678112,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"108",2021-09-01,728715,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"109",2021-08-01,677421,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"110",2021-08-01,726458,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"111",2021-07-01,675089,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"112",2021-07-01,724220,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"113",2021-06-01,673555,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"114",2021-06-01,723996,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"115",2021-05-01,673629,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"116",2021-05-01,724858,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"117",2021-04-01,670165,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"118",2021-04-01,725868,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"119",2021-03-01,679726,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"120",2021-03-01,723211,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"121",2021-02-01,684194,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"122",2021-02-01,722603,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"123",2021-01-01,678345,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"124",2021-01-01,726990,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"125",2020-12-01,668922,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"126",2020-12-01,735196,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"127",2020-11-01,659585,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"128",2020-11-01,739778,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"129",2020-10-01,645253,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"130",2020-10-01,742447,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"131",2020-09-01,637466,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"132",2020-09-01,744234,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"133",2020-08-01,634270,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"134",2020-08-01,746085,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"135",2020-07-01,632009,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"136",2020-07-01,748799,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"137",2020-06-01,632917,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"138",2020-06-01,750851,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"139",2020-05-01,633090,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"140",2020-05-01,752070,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"141",2020-04-01,633050,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"142",2020-04-01,753503,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"143",2020-03-01,615262,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"144",2020-03-01,754937,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"145",2020-02-01,605764,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"146",2020-02-01,754139,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"147",2020-01-01,610188,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"148",2020-01-01,752403,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"149",2019-12-01,613243,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"150",2019-12-01,753383,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"151",2019-11-01,611270,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"152",2019-11-01,753542,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"153",2019-10-01,609101,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"154",2019-10-01,754728,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"155",2019-09-01,608684,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"156",2019-09-01,755725,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"157",2019-08-01,608306,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"158",2019-08-01,756002,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"159",2019-07-01,608426,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"160",2019-07-01,756764,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"161",2019-06-01,608629,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"162",2019-06-01,757058,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"163",2019-05-01,607188,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"164",2019-05-01,757588,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"165",2019-04-01,605929,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
