"","date","OBS_VALUE","TITLE_FR","DEMOGRAPHIE2"
"52",2023-05-01,706292,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"53",2023-04-01,660621,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"54",2023-04-01,711089,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"55",2023-03-01,665317,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"56",2023-03-01,714912,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"57",2023-02-01,667347,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"58",2023-02-01,718976,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"59",2023-01-01,672325,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"60",2023-01-01,722381,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"61",2022-12-01,675122,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"62",2022-12-01,725997,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"63",2022-11-01,668787,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"64",2022-11-01,731565,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"65",2022-10-01,667958,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"66",2022-10-01,735501,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"67",2022-09-01,666147,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"68",2022-09-01,742301,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"69",2022-08-01,666615,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"70",2022-08-01,747300,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"71",2022-07-01,665426,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
