"","date","Metier","Indice","Valeur"
"54",2004-01-01,"Ouvriers","Salaire déflaté par l'indice IPC",105.065085376546
"55",2005-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",105.132204925935
"56",2005-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPC",106.082173085384
"57",2005-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",99.1387512904811
"58",2005-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPC",100.034562970259
"59",2005-01-01,"Ouvriers","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",105.366847174562
"60",2005-01-01,"Ouvriers","Salaire déflaté par l'indice IPC",106.318935546987
"61",2006-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",105.185672545446
"62",2006-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPC",106.368874727301
"63",2006-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",99.3362034856522
"64",2006-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPC",100.453606738938
"65",2006-01-01,"Ouvriers","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",104.659658757604
"66",2006-01-01,"Ouvriers","Salaire déflaté par l'indice IPC",105.836943967627
"67",2007-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",107.350289115126
"68",2007-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPC",108.677205651917
"69",2007-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",100.269019658223
"70",2007-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPC",101.508407287348
"71",2007-01-01,"Ouvriers","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",106.0008125547
"72",2007-01-01,"Ouvriers","Salaire déflaté par l'indice IPC",107.311048719423
"73",2008-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",106.323822590852
"74",2008-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPC",108.003379903085
"75",2008-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",99.8096554857801
"76",2008-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPC",101.386310957882
"77",2008-01-01,"Ouvriers","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",106.889851080623
"78",2008-01-01,"Ouvriers","Salaire déflaté par l'indice IPC",108.578349731361
"79",2009-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",104.599235049153
"80",2009-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPC",106.275401541438
"81",2009-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",99.7880559104422
"82",2009-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPC",101.387124924367
